CustomerKey,FirstName,LastName,Fullname,BirthDate,Gender,DateFirstPurchase,CustomerCity
11266,Taylor,Howard,Taylor Howard,11/2/1969,Female,9/10/2019,Port Orchard
11267,David,Diaz,David Diaz,9/29/1975,Male,9/17/2019,Burlingame
11268,Katelyn,Carter,Katelyn Carter,10/31/1969,Female,5/29/2021,Coronado
11269,Ryan,Foster,Ryan Foster,10/10/1975,Male,8/22/2021,Daly City
11270,Robert,Lee,Robert Lee,5/1/1975,Male,9/10/2019,Lakewood
11271,Danielle,Reed,Danielle Reed,12/3/1969,Female,9/27/2019,San Francisco
11272,Lauren,Martinez,Lauren Martinez,5/10/1962,Female,9/19/2019,Beverly Hills
11273,Nathan,Lal,Nathan Lal,3/31/1962,Male,5/14/2021,La Jolla
11274,Kyle,Foster,Kyle Foster,10/10/1939,Male,8/29/2019,Bellingham
11275,Jenny,Rai,Jenny Rai,7/18/1939,Female,8/30/2019,Colma
11276,Nancy,Chapman,Nancy Chapman,9/15/1974,Female,1/29/2021,Cliffside
11277,Charles,Jackson,Charles Jackson,12/7/1968,Male,2/2/2021,Royal Oak
11278,Jonathan,Phillips,Jonathan Phillips,2/16/1969,Male,9/16/2019,Edmonds
11279,Amanda,Cook,Amanda Cook,9/8/1974,Female,3/3/2021,Everett
11280,Robert,Collins,Robert Collins,2/17/1969,Male,7/1/2021,Lynnwood
11281,Megan,Barnes,Megan Barnes,10/6/1974,Female,9/13/2019,Burbank
11282,Christian,Thomas,Christian Thomas,7/16/1967,Male,8/31/2019,Burien
11283,Arturo,Lal,Arturo Lal,4/24/1968,Male,5/29/2021,Berkeley
11284,Theresa,Serrano,Theresa Serrano,9/24/1967,Female,2/6/2021,Chula Vista
11285,Jeremy,Anderson,Jeremy Anderson,3/15/1973,Male,7/27/2021,Fremont
11286,Hunter,Griffin,Hunter Griffin,8/31/1967,Male,9/21/2019,Torrance
11287,Henry,Garcia,Henry Garcia,7/16/1966,Male,1/29/2021,Cliffside
11288,Cindy,Sanchez,Cindy Sanchez,3/12/1978,Female,3/5/2021,Burbank
11289,Maria,Carter,Maria Carter,3/3/1972,Female,9/8/2019,Downey
11290,Katelyn,Sanchez,Katelyn Sanchez,8/14/1972,Female,9/20/2019,Lakewood
11291,Jenna,Wright,Jenna Wright,5/1/1972,Female,9/4/2019,Lemon Grove
11292,Seth,Phillips,Seth Phillips,5/5/1967,Male,9/15/2019,San Gabriel
11293,Luke,Long,Luke Long,11/23/1960,Male,2/24/2021,Port Orchard
11294,Dalton,Clark,Dalton Clark,3/2/1961,Male,9/25/2021,Issaquah
11295,Taylor,Lewis,Taylor Lewis,11/13/1959,Female,9/25/2019,Concord
11296,Haley,Richardson,Haley Richardson,4/5/1941,Female,9/1/2019,Everett
11297,Noah,Coleman,Noah Coleman,8/1/1940,Male,9/26/2019,Burbank
11298,Jon,Luo,Jon Luo,8/30/1940,Male,9/12/2019,Chula Vista
11299,Orlando,Vazquez,Orlando Vazquez,9/29/1941,Male,9/26/2019,Burbank
11300,Fernando,Barnes,Fernando Barnes,8/31/1965,Male,1/31/2021,N. Vancouver
11301,Cameron,Rodriguez,Cameron Rodriguez,12/7/1965,Male,6/9/2021,Ballard
11302,Spencer,Russell,Spencer Russell,12/9/1971,Male,9/6/2019,Corvallis
11303,Julia,Coleman,Julia Coleman,4/10/1966,Female,9/2/2019,Edmonds
11304,Julia,Garcia,Julia Garcia,3/14/1971,Female,3/20/2021,Portland
11305,Sean,Evans,Sean Evans,12/17/1965,Male,3/25/2021,Chula Vista
11306,Micah,Zhou,Micah Zhou,12/20/1965,Male,6/30/2021,Coronado
11307,Hunter,Rodriguez,Hunter Rodriguez,10/31/1965,Male,9/4/2019,Daly City
11308,Ian,Gonzales,Ian Gonzales,9/2/1959,Male,9/7/2021,Oregon City
11309,Victoria,Lewis,Victoria Lewis,12/10/1959,Female,7/9/2021,Beaverton
11310,Erin,Sanders,Erin Sanders,7/5/1964,Female,8/12/2021,San Francisco
11311,Gabrielle,Lopez,Gabrielle Lopez,2/21/1959,Female,4/18/2021,Lynnwood
11312,Sara,Richardson,Sara Richardson,10/1/1958,Female,5/17/2021,Lynnwood
11313,Trevor,Jenkins,Trevor Jenkins,8/27/1958,Male,5/7/2021,Port Orchard
11314,Mya,Flores,Mya Flores,6/16/1970,Female,2/25/2021,Issaquah
11315,Hailey,Ward,Hailey Ward,3/31/1959,Female,5/20/2021,Port Orchard
11316,Luke,Allen,Luke Allen,5/17/1959,Male,1/12/2021,Langford
11317,Victoria,Russell,Victoria Russell,9/14/1963,Female,9/1/2019,Salem
